title,imdbid,genres
The Awful Truth,28597,Comedy
The Awful Truth,28597,Drama
The Awful Truth,28597,Romance
Young and Innocent,29811,Crime
Young and Innocent,29811,Romance
Young and Innocent,29811,Thriller
Marked Woman,29217,Crime
Marked Woman,29217,Drama
Marked Woman,29217,Thriller
Drôle de Drame,27552,Comedy
The Lady Vanishes,30341,Mystery
The Lady Vanishes,30341,Thriller
The Lady Vanishes,30341,Comedy
Holiday,30241,Comedy
Holiday,30241,Romance
Bringing Up Baby,29947,Comedy
Bringing Up Baby,29947,Romance
Four Daughters,30149,Drama
Four Daughters,30149,Music
Four Daughters,30149,Romance
The Mad Miss Manton,30396,Comedy
The Mad Miss Manton,30396,Crime
The Mad Miss Manton,30396,Mystery
The Mad Miss Manton,30396,Romance
The Women,32143,Comedy
The Women,32143,Drama
Stagecoach,31971,Western
Stagecoach,31971,Adventure
Stagecoach,31971,Action
Ninotchka,31725,Comedy
Ninotchka,31725,Romance
Dark Victory,31210,Drama
Dark Victory,31210,Romance
The Gorilla,31387,Horror
The Gorilla,31387,Thriller
The Gorilla,31387,Comedy
The Rules of the Game,31885,Drama
The Rules of the Game,31885,Comedy
The Rules of the Game,31885,Romance
Babes in Arms,31066,Comedy
Babes in Arms,31066,Music
Destry Rides Again,31225,Action
Destry Rides Again,31225,Comedy
Destry Rides Again,31225,Western
Nancy Drew... Reporter,31709,Comedy
Nancy Drew... Reporter,31709,Crime
Nancy Drew... Reporter,31709,Mystery
The Adventures of Sherlock Holmes,31022,Crime
The Adventures of Sherlock Holmes,31022,Mystery
The Adventures of Sherlock Holmes,31022,Thriller
Jamaica Inn,31505,Adventure
Jamaica Inn,31505,Crime
Jamaica Inn,31505,Drama
Jamaica Inn,31505,History
Love Affair,31593,Comedy
Love Affair,31593,Drama
Love Affair,31593,Romance
Rebecca,32976,Mystery
Rebecca,32976,Drama
Rebecca,32976,Thriller
Rebecca,32976,Romance
The Mortal Storm,32811,Drama
The Grapes of Wrath,32551,Drama
The Ape,32215,Horror
The Ape,32215,Science Fiction
His Girl Friday,32599,Comedy
His Girl Friday,32599,Drama
His Girl Friday,32599,Romance
The Sea Hawk,33028,Action
The Sea Hawk,33028,Adventure
The Sea Hawk,33028,Romance
The Sea Hawk,33028,History
The Great Dictator,32553,Comedy
The Great Dictator,32553,War
Pride and Prejudice,32943,Drama
Pride and Prejudice,32943,Romance
Primrose Path,32946,Drama
Primrose Path,32946,Romance
"Dance, Girl, Dance",32376,Music
"Dance, Girl, Dance",32376,Romance
"Dance, Girl, Dance",32376,Comedy
The Philadelphia Story,32904,Comedy
The Philadelphia Story,32904,Romance
Gaslight,31359,Thriller
Gaslight,31359,Mystery
The Shop Around the Corner,33045,Comedy
The Shop Around the Corner,33045,Drama
The Shop Around the Corner,33045,Romance
The Shanghai Gesture,34175,Drama
The Shanghai Gesture,34175,Mystery
The Shanghai Gesture,34175,Thriller
The Devil and Miss Jones,33533,Comedy
The Devil and Miss Jones,33533,Romance
Cheers For Miss Bishop,33459,Comedy
Cheers For Miss Bishop,33459,Drama
Buck Privates,33436,Comedy
Buck Privates,33436,Music
Hold That Ghost,33723,Comedy
Hold That Ghost,33723,Horror
Meet John Doe,33891,Comedy
Meet John Doe,33891,Drama
Meet John Doe,33891,Romance
Sullivan's Travels,34240,Adventure
Sullivan's Travels,34240,Comedy
Sullivan's Travels,34240,Romance
Suspicion,34248,Mystery
Suspicion,34248,Romance
Suspicion,34248,Thriller
How Green Was My Valley,33729,Drama
How Green Was My Valley,33729,History
How Green Was My Valley,33729,Family
The Reluctant Dragon,34091,Fantasy
The Reluctant Dragon,34091,Animation
The Reluctant Dragon,34091,Family
The Reluctant Dragon,34091,Comedy
King of the Zombies,33787,Horror
King of the Zombies,33787,Adventure
King of the Zombies,33787,Comedy
The Major and the Minor,35019,Comedy
The Major and the Minor,35019,Romance
"Now, Voyager",35140,Romance
"Now, Voyager",35140,Drama
For Me and My Gal,34746,Music
For Me and My Gal,34746,Romance
For Me and My Gal,34746,War
Cat People,34587,Horror
Cat People,34587,Drama
The Man Who Came to Dinner,33874,Comedy
The Man Who Came to Dinner,33874,Romance
Woman of the Year,35567,Comedy
Woman of the Year,35567,Drama
Woman of the Year,35567,Romance
Mrs. Miniver,35093,Drama
Mrs. Miniver,35093,Romance
Mrs. Miniver,35093,War
Old Acquaintance,36230,Drama
Old Acquaintance,36230,Romance
Watch on the Rhine,36515,Drama
Watch on the Rhine,36515,Thriller
I Walked with a Zombie,36027,Drama
I Walked with a Zombie,36027,Horror
I Walked with a Zombie,36027,Fantasy
Tender Comrade,36418,Drama
Tender Comrade,36418,Romance
Tender Comrade,36418,War
Day of Wrath,36506,Drama
Day of Wrath,36506,Romance
Le Corbeau,35753,Drama
Le Corbeau,35753,Thriller
Le Corbeau,35753,Crime
Le Corbeau,35753,Mystery
Shadow of a Doubt,36342,Crime
Shadow of a Doubt,36342,Thriller
Cry 'Havoc',35770,Drama
Cry 'Havoc',35770,War
So Proudly We Hail,36367,Drama
So Proudly We Hail,36367,Romance
So Proudly We Hail,36367,War
Jane Eyre,36969,Drama
Jane Eyre,36969,Romance
The Seventh Victim,36341,Horror
The Seventh Victim,36341,Mystery
Double Indemnity,36775,Crime
Double Indemnity,36775,Drama
Double Indemnity,36775,Mystery
Double Indemnity,36775,Thriller
Meet Me in St. Louis,37059,Comedy
Meet Me in St. Louis,37059,Drama
Meet Me in St. Louis,37059,Romance
Meet Me in St. Louis,37059,Family
Laura,37008,Drama
Laura,37008,Mystery
Cover Girl,36723,Comedy
Cover Girl,36723,Music
Cover Girl,36723,Romance
Since You Went Away,37280,Drama
Since You Went Away,37280,Romance
Since You Went Away,37280,War
To Have and Have Not,37382,Adventure
To Have and Have Not,37382,Romance
To Have and Have Not,37382,War
I'll Be Seeing You,36940,Drama
I'll Be Seeing You,36940,Romance
I'll Be Seeing You,36940,Family
National Velvet,37120,Drama
National Velvet,37120,Family
The Most Beautiful,36947,Drama
The Most Beautiful,36947,War
Lifeboat,37017,War
Lifeboat,37017,Drama
A Canterbury Tale,36695,Comedy
A Canterbury Tale,36695,Drama
A Canterbury Tale,36695,Mystery
The Uninvited,37415,Drama
The Uninvited,37415,Fantasy
The Uninvited,37415,Horror
The Uninvited,37415,Mystery
Mildred Pierce,37913,Crime
Mildred Pierce,37913,Drama
I Know Where I'm Going!,37800,Drama
I Know Where I'm Going!,37800,Romance
The Seventh Veil,38924,Music
The Seventh Veil,38924,Drama
Brief Encounter,37558,Drama
Brief Encounter,37558,Romance
Isle of the Dead,37820,Horror
Isle of the Dead,37820,Mystery
Isle of the Dead,37820,Thriller
The Enchanted Cottage,37671,Drama
The Enchanted Cottage,37671,Fantasy
The Enchanted Cottage,37671,Romance
Spellbound,38109,Mystery
Spellbound,38109,Thriller
Spellbound,38109,Romance
"Rome, Open City",38890,Drama
"Rome, Open City",38890,History
Scarlet Street,38057,Drama
Scarlet Street,38057,Thriller
Scarlet Street,38057,Crime
The Woman in Green,38259,Mystery
The Woman in Green,38259,Crime
The Woman in Green,38259,Thriller
Dead of Night,37635,Horror
Dead of Night,37635,Mystery
Dead of Night,37635,Thriller
Les Dames du Bois de Boulogne,37630,Drama
Les Dames du Bois de Boulogne,37630,Romance
The Wicked Lady,38250,Adventure
The Wicked Lady,38250,Drama
The Harvey Girls,38589,Comedy
The Harvey Girls,38589,Music
The Harvey Girls,38589,Western
Beauty and the Beast,38348,Drama
Beauty and the Beast,38348,Fantasy
Beauty and the Beast,38348,Romance
Two Sisters from Boston,39054,Comedy
Two Sisters from Boston,39054,Music
It's a Wonderful Life,38650,Drama
It's a Wonderful Life,38650,Family
It's a Wonderful Life,38650,Fantasy
The Strange Woman,38990,Drama
